geo_name,geo_id,pop,adult_obesity,income_below_poverty,high_school_graduation,unemployment,violent_crime,age,median_property_value,owner_occupied_housing_units,population_living_in_a_rural_area,grads_total
"Bronx County, NY",05000US36005,1436785,0.304,427715,0.599,0.077,620.76,33.3,363600,0.190669,0,15204
"Palm Beach County, FL",05000US12099,1398757,0.215,191207,0.791,0.05,462.93,44.3,222700,0.68617,0.01,19368
"Nassau County, NY",05000US36059,1356801,0.235,80282,0.912,0.043,163.41,41.4,451700,0.802808,0.002,19774
"Hillsborough County, FL",05000US12057,1323059,0.283,213566,0.76,0.05,339.05,36.6,167400,0.578843,0.035,32036
"Cuyahoga County, OH",05000US39035,1258710,0.3,227740,0.748,0.05,588.89,40.4,122200,0.58943,0.006,17550
"Orange County, FL",05000US12095,1256055,0.249,212105,0.777,0.049,681.43,34.5,173700,0.542697,0.02,46245
"Oakland County, MI",05000US26125,1235215,0.263,117008,0.85,0.05,195.49,40.9,191500,0.702551,0.048,12610
"Franklin County, OH",05000US39049,1232118,0.297,205186,0.663,0.041,429.31,33.9,153100,0.533394,0.014,30404
"Allegheny County, PA",05000US42003,1230360,0.267,152390,0.889,0.048,401.08,40.8,134400,0.647037,0.025,30765
"Hennepin County, MN",05000US27053,1209265,0.228,141453,0.759,0.033,424.22,36.2,235800,0.622208,0.022,43353
"Travis County, TX",05000US48453,1148176,0.203,171023,0.897,0.033,345.75,33.3,253600,0.519812,0.055,23368
"Fairfax County, VA",05000US51059,1132887,0.203,67306,0.87,0.036,89.44,37.6,516800,0.674579,0.014,19853
"Contra Costa County, CA",05000US06013,1107925,0.25,111922,0.893,0.05,366.02,39.1,472900,0.645237,0.008,7829
"Salt Lake County, UT",05000US49035,1092518,0.254,122608,0.788,0.033,349.82,32.1,243700,0.663221,0.009,30874
"Montgomery County, MD",05000US24031,1026371,0.201,69889,0.89,0.04,177.24,38.6,460100,0.655858,0.024,3966
"Mecklenburg County, NC",05000US37119,1011774,0.239,141024,0.88,0.054,546.31,34.7,192700,0.569118,0.011,14639
"Pima County, AZ",05000US04019,1003338,0.242,186299,0.739,0.056,450.37,38.1,160800,0.613063,0.075,19043
"St. Louis County, MO",05000US29189,1000560,0.29,100613,0.893,0.046,297.67,40.3,176000,0.696982,0.011,21027
"Wake County, NC",05000US37183,998576,0.248,105133,0.862,0.047,244.59,35.6,241600,0.63442,0.061,16763
"Fulton County, GA",05000US13121,996757,0.239,163674,0.726,0.058,807.6,35,252700,0.512281,0.011,22757
"Honolulu County, HI",05000US15003,986999,0.223,90359,0.829,0.034,239.37,37.4,602700,0.549899,0.009,13142
"Westchester County, NY",05000US36119,969229,0.203,92600,0.875,0.046,236.54,40.5,507300,0.614474,0.033,10440
"Fresno County, CA",05000US06019,963160,0.266,254872,0.819,0.102,507.12,31.6,204900,0.525042,0.108,12218
"Milwaukee County, WI",05000US55079,955306,0.329,198227,0.744,0.058,945.05,34.3,150000,0.494179,0.002,16997
"Fairfield County, CT",05000US09001,941618,0.214,81553,0.893,0.053,264.01,39.9,413400,0.676315,0.046,10437
"Pinellas County, FL",05000US12103,939548,0.255,130727,0.78,0.049,535.94,47.4,157500,0.646015,0.003,10542
"Shelby County, TN",05000US47157,936990,0.326,196471,0.778,0.066,1286.06,35.1,132200,0.561894,0.028,11346
"Marion County, IN",05000US18097,932142,0.324,187586,0.721,0.05,1196.71,34.1,120500,0.535811,0.006,37112
"DuPage County, IL",05000US17043,930514,0.23,64677,0.936,0.047,86.47,38.9,283500,0.729099,0,20061
"Bergen County, NJ",05000US34003,930310,0.215,69119,0.945,0.046,88.92,41.5,443400,0.646873,0.001,9165
"Erie County, NY",05000US36029,922129,0.267,132072,0.82,0.054,447.72,40.4,134600,0.652562,0.094,20092
"Duval County, FL",05000US12031,900890,0.306,146252,0.77,0.057,644.69,36,146400,0.582444,0.029,17904
"Prince George's County, MD",05000US24033,897693,0.334,84744,0.79,0.053,509.39,36.1,261400,0.616489,0.02,26090
"Hartford County, CT",05000US09003,895699,0.268,100830,0.831,0.059,293.17,40.2,234900,0.641226,0.054,12372
"Collin County, TX",05000US48085,886633,0.246,62651,0.963,0.036,153.61,36.2,240700,0.660858,0.052,9863
"Gwinnett County, GA",05000US13135,874242,0.295,112999,0.762,0.051,210.74,34.8,173000,0.660809,0.005,5102
"Kern County, CA",05000US06029,871337,0.303,194354,0.825,0.102,554.99,31.2,175600,0.56915,0.102,6136
"New Haven County, CT",05000US09009,860874,0.265,106796,0.838,0.061,381.33,39.8,244000,0.62351,0.036,17313
"Macomb County, MI",05000US26099,859703,0.333,102536,0.813,0.061,293.5,40.9,134800,0.730148,0.028,3941
"San Francisco County, CA",05000US06075,850282,0.161,104180,0.722,0.036,792.97,38.4,858800,0.368083,0,22610
"Ventura County, CA",05000US06111,843110,0.203,88486,0.845,0.057,205.02,37.3,481400,0.634433,0.031,8568
"El Paso County, TX",05000US48141,833592,0.284,183925,0.842,0.052,364.37,31.6,114700,0.613507,0.022,13718
"Pierce County, WA",05000US53053,832896,0.3,103562,0.843,0.063,435.8,36,239400,0.607836,0.066,11134
"Middlesex County, NJ",05000US34023,831852,0.25,71749,0.902,0.05,158.87,37.9,324500,0.638219,0.007,15750
"Hidalgo County, TX",05000US48215,828334,0.344,267812,0.865,0.079,311.89,28.8,81400,0.678064,0.051,11688
"Baltimore County, MD",05000US24005,825666,0.288,74876,0.88,0.054,504.08,39.1,246900,0.658264,0.065,16275
"Montgomery County, PA",05000US42091,815876,0.246,52250,0.936,0.04,163.18,41.2,293800,0.721654,0.029,8421
"Worcester County, MA",05000US25027,813589,0.27,89860,0.884,0.053,435.18,39.9,254100,0.646899,0.184,11479
"Hamilton County, OH",05000US39061,805965,0.292,140334,0.732,0.045,462.86,37,143700,0.576589,0.022,17696
"Essex County, NJ",05000US34013,792586,0.287,132940,0.833,0.067,681.23,37,356300,0.441176,0,16357
"Multnomah County, OR",05000US41051,778193,0.213,130564,0.724,0.05,475.53,36.7,297300,0.538446,0.013,25682
"Essex County, MA",05000US25009,769362,0.255,84757,0.874,0.052,382.17,40.7,362200,0.632368,0.042,7997
"Suffolk County, MA",05000US25025,767719,0.213,145744,0.704,0.046,815.16,32.4,398000,0.357951,0.001,39955
"Oklahoma County, OK",05000US40109,764698,0.312,132442,0.794,0.038,650.36,34.3,137500,0.586761,0.063,13971
"Jefferson County, KY",05000US21111,759724,0.316,119158,0.79,0.049,562.46,38,154100,0.612141,0.014,14192
"Snohomish County, WA",05000US53061,758649,0.294,69695,0.838,0.048,191.25,37.8,309800,0.661234,0.108,6209
"San Mateo County, CA",05000US06081,754748,0.211,57490,0.881,0.034,227.56,39.5,845300,0.591334,0.019,5257
"Denton County, TX",05000US48121,754650,0.221,64613,0.94,0.036,171,34.5,212200,0.641066,0.069,12614
"Monroe County, NY",05000US36055,749236,0.277,107724,0.825,0.052,344.67,38.6,140200,0.638408,0.064,16324
"Cobb County, GA",05000US13067,728388,0.229,83479,0.807,0.05,266.65,36.2,205600,0.638728,0.002,10231
"DeKalb County, GA",05000US13089,723902,0.273,134830,0.718,0.059,628.24,35.2,168100,0.539507,0.003,12181
"San Joaquin County, CA",05000US06077,714860,0.283,124587,0.823,0.089,780.38,33.7,246900,0.556816,0.085,5866
"Lake County, IL",05000US17097,702890,0.284,60664,0.897,0.055,154.09,37.8,246700,0.734996,0.013,5939
"Norfolk County, MA",05000US25021,691218,0.205,45372,0.93,0.043,193.1,41,414000,0.685108,0.012,6391
"Will County, IL",05000US17197,685378,0.28,51976,0.886,0.06,168.2,37,210600,0.810552,0.039,6753
"Fort Bend County, TX",05000US48157,683756,0.239,55523,0.932,0.043,261.54,35.7,217600,0.780087,0.055,175
"Jackson County, MO",05000US29095,683643,0.31,115709,0.856,0.059,822.54,36.5,127400,0.584598,0.038,12212
"Lee County, FL",05000US12071,680970,0.246,104219,0.75,0.05,340.5,47.3,171100,0.689586,0.058,7633
"Bernalillo County, NM",05000US35001,674777,0.215,124678,0.62,0.059,774.75,36.8,186500,0.623872,0.042,16926
"Hudson County, NJ",05000US34017,668526,0.239,115156,0.828,0.053,406.44,34.7,341300,0.307752,0,6823
"Davidson County, TN",05000US47037,667885,0.309,114238,0.79,0.045,1110.86,34.2,177700,0.539643,0.034,16601
"El Paso County, CO",05000US08041,665171,0.223,73012,0.751,0.046,380.1,33.8,227000,0.626784,0.089,13830
"Denver County, CO",05000US08031,663303,0.164,106745,0.605,0.037,617.33,34.2,292700,0.494073,0,21589
"Jefferson County, AL",05000US01073,659096,0.332,116750,0.89,0.058,796.84,37.5,145700,0.629843,0.098,10542
"District of Columbia, DC",05000US11001,659009,0.224,112060,0.684,0.069,1263.38,33.8,506100,0.407426,0,27957
"Polk County, FL",05000US12105,637691,0.323,110225,0.69,0.062,355.72,40.4,110400,0.680046,0.135,4344
"Providence County, RI",05000US44007,631344,0.282,104178,0.802,0.064,330.98,37.3,209800,0.529451,0.055,12147
"Tulsa County, OK",05000US40143,629823,0.296,98682,0.829,0.04,671.39,35.4,141700,0.590625,0.048,9148
"Kent County, MI",05000US26081,629352,0.287,92049,0.783,0.036,378.23,34.9,144300,0.686895,0.157,7375
"Monmouth County, NJ",05000US34025,627532,0.232,47318,0.937,0.05,161.95,42.6,387500,0.737212,0.037,4253
"Bucks County, PA",05000US42017,626220,0.257,36635,0.924,0.045,100.36,43.3,311600,0.765486,0.088,2903
"Baltimore city, MD",05000US24510,621000,0.337,137964,0.701,0.077,1388.61,34.7,153000,0.465518,0,18227
"Arapahoe County, CO",05000US08005,617668,0.214,65383,0.768,0.037,297.68,36.3,266600,0.621772,0.016,10177
"Ocean County, NJ",05000US34029,586166,0.281,64770,0.907,0.06,97.81,42.8,264200,0.801297,0.029,4420
"Johnson County, KS",05000US20091,572428,0.248,34189,0.902,0.034,142.4,37.1,222400,0.690012,0.038,5673
"Utah County, UT",05000US49049,564177,0.244,69019,0.882,0.032,74.45,24.4,239300,0.672252,0.033,16408
"Washington County, OR",05000US41067,564088,0.24,61817,0.809,0.048,148.89,36.2,301600,0.600848,0.056,1630
"Delaware County, PA",05000US42045,562316,0.24,58737,0.765,0.047,474.25,39,233300,0.693935,0.005,16317
"Brevard County, FL",05000US12009,560683,0.256,77357,0.86,0.059,518.32,47,150500,0.716824,0.051,7470
"Anne Arundel County, MD",05000US24003,559737,0.291,33168,0.88,0.045,459.78,38.3,338500,0.738816,0.053,4788
"Jefferson County, CO",05000US08059,558810,0.183,44629,0.83,0.035,223.43,40.5,299100,0.70312,0.069,5593
"Bristol County, MA",05000US25005,554868,0.283,67338,0.868,0.063,518.3,40.7,273700,0.620937,0.098,5489
"New Castle County, DE",05000US10003,551997,0.277,60817,0.853,0.047,550.11,37.6,244300,0.686585,0.046,11651
"Union County, NJ",05000US34039,550436,0.247,58464,0.897,0.059,362.61,38.2,347500,0.588212,0,5963
"Douglas County, NE",05000US31055,543253,0.278,75422,0.852,0.033,484.88,34.1,149300,0.614239,0.022,10496
"Summit County, OH",05000US39153,541372,0.308,75894,0.828,0.049,378.46,40.8,134300,0.656262,0.039,6698
"Lancaster County, PA",05000US42071,533110,0.293,55977,0.896,0.04,167.89,38.5,191400,0.684377,0.213,4868
"Montgomery County, OH",05000US39113,532761,0.333,95684,0.821,0.05,377.58,39.4,109600,0.60802,0.043,9545
"Ramsey County, MN",05000US27123,531528,0.258,82252,0.764,0.035,455.35,34.6,199200,0.590304,0.002,14429
"Stanislaus County, CA",05000US06099,530561,0.326,95739,0.846,0.095,533.08,33.8,216000,0.565662,0.08,5063
"Kane County, IL",05000US17089,526615,0.253,57312,0.851,0.058,159.92,36.2,215800,0.731502,0.036,6813
"Montgomery County, TX",05000US48339,518849,0.245,56804,0.924,0.043,171.15,36.6,190000,0.717006,0.227,8006
"Dane County, WI",05000US55025,516818,0.237,63673,0.871,0.032,230.73,34.7,236000,0.58311,0.123,20482
"Chester County, PA",05000US42029,512028,0.23,35883,0.89,0.037,143.67,40.3,331000,0.752604,0.133,6786
"Guilford County, NC",05000US37081,511815,0.307,87165,0.889,0.059,419.06,37.1,157300,0.587909,0.127,10794
"Camden County, NJ",05000US34007,511145,0.302,66882,0.87,0.063,550.69,38.4,193500,0.671579,0.016,5333
"Volusia County, FL",05000US12127,510806,0.26,83660,0.72,0.057,426.46,46.5,139000,0.696191,0.099,11073
"Sedgwick County, KS",05000US20173,508221,0.314,75476,0.82,0.048,622.45,34.8,128000,0.637126,0.077,6838
"Passaic County, NJ",05000US34031,507204,0.257,83738,0.872,0.069,451.16,36.5,333400,0.531832,0.024,6300
"Plymouth County, MA",05000US25023,506657,0.278,39602,0.902,0.052,404.35,42.4,333600,0.759443,0.103,4531
"Morris County, NJ",05000US34027,498215,0.21,22483,0.953,0.042,65.48,42.2,428900,0.753163,0.068,3363
"Sonoma County, CA",05000US06097,497776,0.209,55095,0.829,0.045,362.59,41.2,464700,0.596552,0.124,7369
"Williamson County, TX",05000US48491,490619,0.311,35045,0.948,0.035,146.55,35.6,209400,0.68587,0.12,446
"Lake County, IN",05000US18089,489698,0.339,84905,0.846,0.068,431.91,38.2,137800,0.687569,0.04,3937
"Pasco County, FL",05000US12101,488310,0.311,65101,0.79,0.058,296.47,44.6,122100,0.728293,0.095,7560
"Spokane County, WA",05000US53063,485859,0.292,73462,0.844,0.064,362.58,37.3,186500,0.624144,0.137,9889
"Greenville County, SC",05000US45045,482191,0.281,67067,0.843,0.05,590.49,37.9,160900,0.657054,0.126,5365
"Adams County, CO",05000US08001,479977,0.263,61265,0.721,0.043,332.05,33.3,216700,0.644285,0.036,5857
"Richmond County, NY",05000US36085,473324,0.282,60530,0.79,0.058,620.9,39.6,448000,0.689713,0,3402
"Hampden County, MA",05000US25013,468072,0.275,80119,0.792,0.068,604.91,38.6,196500,0.615795,0.086,9417
"Onondaga County, NY",05000US36067,468050,0.279,68285,0.814,0.05,341.45,38.8,137000,0.649772,0.126,12004
"Polk County, IA",05000US19153,459159,0.292,55972,0.883,0.036,325.93,35,161100,0.671785,0.049,7638
"Tulare County, CA",05000US06107,455769,0.326,127130,0.854,0.117,445.78,30.4,169600,0.564736,0.155,6002
"Clark County, WA",05000US53011,450893,0.299,45773,0.826,0.064,208.21,37.8,249400,0.646896,0.138,3335
"Burlington County, NJ",05000US34005,450236,0.28,28440,0.926,0.052,158.93,41.3,245000,0.763356,0.067,1863
"Virginia Beach city, VA",05000US51810,449733,0.279,35924,0.86,0.043,160.22,35.4,262200,0.631805,0.015,7028
"Knox County, TN",05000US47093,448164,0.297,70612,0.9,0.048,488.69,37.3,164700,0.640049,0.109,11578
"East Baton Rouge Parish, LA",05000US22033,445337,0.329,85171,0.714,0.053,606.76,33.3,173200,0.589603,0.069,13062
"Prince William County, VA",05000US51153,443630,0.255,30869,0.86,0.041,163.22,34.4,345900,0.711735,0.042,535
"Seminole County, FL",05000US12117,442905,0.246,53025,0.86,0.048,342.07,39.2,188400,0.663088,0.032,7404
"York County, PA",05000US42133,440604,0.333,45113,0.881,0.046,226.9,40.8,168300,0.744798,0.247,2745
"Washoe County, NV",05000US32031,439914,0.218,65024,0.751,0.062,372.43,37.9,236900,0.568322,0.043,7897
"Santa Barbara County, CA",05000US06083,439395,0.182,66880,0.879,0.053,333.3,33.7,480000,0.520374,0.05,13123
"Jefferson Parish, LA",05000US22051,435204,0.354,69402,0.73,0.057,445.4,38.8,173500,0.614261,0.011,1085
"Lucas County, OH",05000US39095,434800,0.342,87717,0.6,0.053,793.57,37.9,105500,0.602089,0.047,6977
"Monterey County, CA",05000US06053,430201,0.223,66289,0.845,0.081,425.45,33.7,393300,0.497165,0.098,6621
"Solano County, CA",05000US06095,429596,0.301,53265,0.843,0.061,467.66,37.5,305900,0.592389,0.037,2835
"Ada County, ID",05000US16001,425798,0.254,51101,0.751,0.036,221.77,36.1,200200,0.675033,0.055,5477
"Cameron County, TX",05000US48061,418785,0.332,136809,0.902,0.071,252.09,31.3,79900,0.668406,0.084,3208
"Mobile County, AL",05000US01097,414291,0.371,78633,0.864,0.07,549.8,37.2,123500,0.6597,0.2,5470
"Berks County, PA",05000US42011,414097,0.322,57329,0.839,0.048,319.18,39.8,169000,0.71808,0.237,4936
"Genesee County, MI",05000US26049,413090,0.33,85283,0.764,0.058,765.4,39.9,91800,0.693216,0.168,10236
"Dakota County, MN",05000US27037,411402,0.266,29265,0.843,0.033,124.62,37.6,226900,0.742771,0.049,2742
"Hillsborough County, NH",05000US33011,404948,0.285,34231,0.87,0.036,274.66,40.3,248500,0.660517,0.212,11254
"Richland County, SC",05000US45079,401743,0.326,61606,0.626,0.057,837.79,32.9,151500,0.590189,0.091,11721
"Sarasota County, FL",05000US12115,398011,0.206,43281,0.79,0.05,289.01,54.5,196800,0.731814,0.043,1163
"Pinal County, AZ",05000US04021,397604,0.316,61430,0.742,0.063,205.54,38.3,142200,0.725124,0.219,1130
"Waukesha County, WI",05000US55133,395377,0.275,20167,0.941,0.038,70,43,254700,0.762248,0.099,3207
"Clackamas County, OR",05000US41005,394967,0.253,36160,0.787,0.052,96.31,41.4,319100,0.688879,0.181,2487
"Pulaski County, AR",05000US05119,391806,0.317,69467,0.721,0.047,996.46,36.5,144000,0.589617,0.123,8259
"Orleans Parish, LA",05000US22071,382922,0.319,97252,0.92,0.065,861.57,35.5,197000,0.463621,0.006,14855
"Charleston County, SC",05000US45019,380673,0.246,60063,0.84,0.048,406.68,36.8,252700,0.604568,0.109,9889
"St. Charles County, MO",05000US29183,379856,0.25,22765,0.903,0.039,129.55,37.7,192900,0.796209,0.058,4507
"Orange County, NY",05000US36071,376242,0.288,46342,0.865,0.047,253.97,36.9,258700,0.681663,0.223,2872
"Stark County, OH",05000US39151,374762,0.307,51534,0.856,0.053,302.75,41.7,124000,0.687315,0.135,5168
"Butler County, OH",05000US39017,373638,0.328,49134,0.862,0.046,354.67,36.5,159800,0.687306,0.093,5955
"Mercer County, NJ",05000US34021,371101,0.246,39606,0.903,0.048,401.89,38.5,277400,0.64091,0.035,10645
"Placer County, CA",05000US06061,370571,0.217,31932,0.895,0.05,175.94,41.5,380900,0.700826,0.138,3402
"Allen County, IN",05000US18003,365565,0.301,54545,0.886,0.045,282.76,35.6,116400,0.684146,0.119,4684
"Forsyth County, NC",05000US37067,364691,0.314,69253,0.85,0.055,527.72,38,151300,0.617255,0.073,6277
None,None,363744,None,151520,None,None,None,41,161100,0.528777,None,15366
"Loudoun County, VA",05000US51107,362435,0.216,14313,0.93,0.036,84.98,35.5,462100,0.774354,0.126,82
"Lane County, OR",05000US41039,360273,0.274,69588,0.721,0.059,246.24,39.3,221000,0.587694,0.175,8618
"Westmoreland County, PA",05000US42129,359377,0.3,36398,0.906,0.052,167.49,46.3,140600,0.774143,0.254,2780
"Lehigh County, PA",05000US42077,358792,0.301,45552,0.836,0.052,242.27,39.5,192300,0.657935,0.079,3900
"Washtenaw County, MI",05000US26161,358082,0.244,51476,0.866,0.035,298.89,33.4,218100,0.596321,0.164,22407
"Nueces County, TX",05000US48355,355667,0.336,59095,0.863,0.049,617.72,34.9,116600,0.573896,0.064,4134
"Manatee County, FL",05000US12081,353411,0.253,50094,0.78,0.05,580.77,47.1,178700,0.69936,0.058,3127
"Hamilton County, TN",05000US47065,351305,0.302,50631,0.85,0.055,645.64,39.3,162900,0.645828,0.1,5324
"Madison County, AL",05000US01089,349973,0.323,45287,0.918,0.055,583.72,38.1,171200,0.679633,0.164,3235
"Collier County, FL",05000US12021,348236,0.195,45375,0.84,0.052,247.34,49.2,291900,0.720335,0.085,1475
"Anoka County, MN",05000US27003,341249,0.3,24864,0.848,0.036,132.6,37.9,193200,0.798563,0.135,1957
"Marion County, FL",05000US12083,340341,0.292,60266,0.81,0.064,441.52,48.5,114400,0.748263,0.31,5797
"Brazoria County, TX",05000US48039,338419,0.312,34248,0.932,0.046,174.95,35.5,157100,0.714376,0.225,1963
"Chesterfield County, VA",05000US51041,331839,0.26,24148,0.88,0.043,127.58,38.6,218700,0.755685,0.059,3340
"Somerset County, NJ",05000US34035,331686,0.226,16924,0.934,0.044,66.05,41.1,404100,0.757857,0.058,1275
"Bell County, TX",05000US48027,330859,0.29,47165,0.823,0.047,389.39,30.4,130900,0.550532,0.152,6227
"Davis County, UT",05000US49011,329292,0.25,23498,0.918,0.033,105.57,30.4,234300,0.76822,0.009,1863
"Marion County, OR",05000US41047,326527,0.341,54411,0.743,0.061,234.91,36,192900,0.596635,0.131,3657
"Cumberland County, NC",05000US37051,325841,0.323,55235,0.82,0.074,540.52,31.5,129000,0.518753,0.134,6377
"Larimer County, CO",05000US08069,325228,0.187,41640,0.79,0.033,207.6,35.6,282500,0.642818,0.117,7703
"Rockland County, NY",05000US36087,322642,0.224,46128,0.861,0.046,135.37,36.3,420700,0.689392,0.007,3161
"Henrico County, VA",05000US51087,321921,0.275,33818,0.85,0.043,174.06,38.1,216400,0.626452,0.043,2646
"Luzerne County, PA",05000US42079,318917,0.289,48174,0.873,0.063,266.9,43,123500,0.679635,0.2,4299
"Lake County, FL",05000US12069,317586,0.293,42342,0.76,0.054,317.31,46.7,145100,0.739798,0.193,1416
"St. Louis city, MO",05000US29510,316030,0.338,81916,0.72,0.061,1702.75,34.8,120900,0.432506,0,8804
"Galveston County, TX",05000US48167,314485,0.276,41948,0.919,0.05,261.1,37.5,161100,0.661685,0.061,2196
"Douglas County, CO",05000US08035,314238,0.17,11807,0.9,0.031,82.27,37.8,376300,0.795759,0.103,761
"Boulder County, CO",05000US08013,313961,0.134,40732,0.874,0.032,210.46,36,391000,0.61853,0.089,8399
"Osceola County, FL",05000US12097,311962,0.291,60243,0.81,0.057,468.14,35.8,146500,0.601785,0.078,574
"Fayette County, KY",05000US21067,311529,0.273,56444,0.85,0.039,359.85,34.1,170800,0.535673,0.031,11141
"Escambia County, FL",05000US12033,309574,0.289,42672,0.73,0.056,735.92,37.1,121800,0.602566,0.083,6050
"Howard County, MD",05000US24027,308447,0.217,15109,0.93,0.039,200.43,38.7,434700,0.734081,0.093,1984
"Albany County, NY",05000US36001,307891,0.254,37749,0.814,0.044,332.18,37.8,211100,0.57433,0.097,14423
"McHenry County, IL",05000US17111,307083,0.277,23653,0.915,0.053,93.02,39.6,208500,0.789418,0.099,1951
"Lorain County, OH",05000US39093,304091,0.292,41156,0.866,0.054,179.69,41.2,138600,0.713245,0.117,3146
"Hamilton County, IN",05000US18057,303042,0.259,15381,0.939,0.034,36.62,36.3,230000,0.777294,0.056,138
"Lancaster County, NE",05000US31109,301707,0.26,41105,0.83,0.026,343.44,33,157000,0.592198,0.083,9025
"Northampton County, PA",05000US42095,300520,0.286,26379,0.733,0.051,173.26,41.9,207700,0.711538,0.128,4920
"Horry County, SC",05000US45051,300418,0.298,52197,0.687,0.07,590.72,43.8,162100,0.69148,0.304,4211
"Rockingham County, NH",05000US33015,300365,0.261,15240,0.908,0.036,125.93,43.8,288300,0.765547,0.249,363
"Anchorage Municipality, AK",05000US02020,299321,0.27,23652,0.799,0.05,836.31,32.8,298000,0.602721,0.041,4733
"Dutchess County, NY",05000US36027,295905,0.259,25562,0.845,0.046,213.49,41.6,274300,0.68729,0.254,6123
"Lubbock County, TX",05000US48303,294682,0.277,55027,0.896,0.034,729.35,30.6,117100,0.562784,0.113,10828
"Durham County, NC",05000US37063,294618,0.292,48907,0.813,0.05,613.43,34.6,186800,0.531307,0.056,8897
"Spartanburg County, SC",05000US45083,294229,0.305,48747,0.863,0.057,426.26,38.2,124900,0.685902,0.274,3274
"St. Lucie County, FL",05000US12111,293136,0.279,51945,0.75,0.062,379.67,44.3,137700,0.718197,0.034,4605
"Gloucester County, NJ",05000US34015,291286,0.303,23257,0.917,0.059,130.96,39.8,213200,0.793656,0.083,4631
"Rutherford County, TN",05000US47149,290289,0.33,35764,0.94,0.046,436.83,32.9,164800,0.653579,0.17,5410
"Winnebago County, IL",05000US17201,288896,0.339,44086,0.745,0.071,832.06,39.3,116200,0.65473,0.079,3288
"Cumberland County, ME",05000US23005,288204,0.227,31192,0.907,0.034,131.05,42.1,251300,0.677427,0.361,5434
"Greene County, MO",05000US29077,285449,0.32,51145,0.909,0.041,689.76,35.7,133700,0.583049,0.14,10692
"Leon County, FL",05000US12073,284788,0.264,58148,0.878,0.05,683.06,30.3,183800,0.522126,0.123,19204
"Ingham County, MI",05000US26065,284559,0.304,59145,0.757,0.044,552.79,31.6,119100,0.577485,0.132,18188
"Chatham County, GA",05000US13051,282613,0.313,48550,0.81,0.057,397.11,34.6,174500,0.537569,0.045,9870
"Erie County, PA",05000US42049,279133,0.312,44452,0.866,0.053,240.37,38.9,120300,0.658555,0.2,6510
"San Luis Obispo County, CA",05000US06079,278680,0.245,37208,0.915,0.046,379.33,39,471800,0.590246,0.166,7377
